Título:;ACTIVIDADES FORMATIVAS CEP;;;;;;
Autor:;Aplicación Séneca, CONSEJERÍA DE EDUCACIÓN Y DEPORTE, Junta de Andalucía;;;;;;
Fecha de creación:;26/05/2020 - 08:53;;;;;;
;;;;;;;
Centro;Código;Título;Modalidad;Estado;Fecha inicio;Fecha fin;Dirigido a
29200026-CEP Marbella - Coín;202923GES961;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE EN EL ÁMBITO EDUCATIVO NIVEL I. CEIP EL OLMO;Curso con Seguimiento;Actividad en desarrollo;13/11/2019;29/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES962;PENSAR MEJOR A TRAVÉS DEL DIÁLOGO CRÍTICO-CREATIVO;Curso con Seguimiento;Suspendida;16/04/2020;15/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES979;ESTRATEGIAS Y RECURSOS PARA EL APRENDIZAJE NO PRESENCIAL;Curso Semipresencial;Abierto plazo solicitudes;01/06/2020;30/06/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE101;CUADERNO DIGITAL SÉNECA: EVALUACIÓN Y COMPETENCIAS;Curso;Terminada;16/09/2019;19/09/2019;Internivelar
29200026-CEP Marbella - Coín;202923GE102;TRANSFORMA-ACCIÓN: PROGRAMA CON-SEGUIMOS;Curso;Actividad en desarrollo;15/10/2019;23/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE103;NEUROEDUCACIÓN. EMOCIÓN Y APRENDIZAJE.;Curso;Terminada;08/11/2019;09/11/2019;Comunidad educativa
29200026-CEP Marbella - Coín;202923GE105;CREATIVAMENTE: VISUAL THINKING;Curso;Suspendida;17/03/2020;19/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE109;COHESIÓN DE EQUIPOS, CONVIVENCIA Y TIC;Curso;Terminada;10/03/2020;12/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE152;ESTUDIO DE LA IMAGEN PERSONAL EN FORMACIÓN PROFESIONAL;Curso;Terminada;02/09/2019;01/10/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GE153;WYSIWYG, DISEÑO DE ILUMINACIÓN 3D;Curso;Terminada;02/12/2019;16/12/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GE154;NUEVAS TENDENCIAS EN ELABORACIÓN DE PLATOS A LA VISTA DEL CLIENTE EN SALA;Curso;Terminada;03/09/2019;01/10/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GE158;POSTICERIA PARA CARACTERIZACIÓN Y PELUQUERÍA ONCOLÓGICA;Curso;Terminada;11/11/2019;10/12/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GE160;ILUMINACIÓN EN EL CINE;Curso;Terminada;03/12/2019;11/12/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GE163;RECLUTAMIENTO Y SELECCIÓN DE PERSONAL 2.0;Curso a Distancia;Actividad en desarrollo;21/05/2020;19/06/2020;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;202923GE170;INTEGRACIÓN DE LA COMPETENCIA DIGITAL EN LA GESTIÓN Y LA PRÁCTICA EDUCATIVA DE LA EDUCACIÓN PERMANENTE DE PERSONAS ADULTAS;Curso;Actividad en desarrollo;06/02/2020;22/05/2020;Educación Permanente
29200026-CEP Marbella - Coín;202923GE251;RESOLUCIÓN DE PROBLEMAS MATEMÁTICOS: CREATIVIDAD Y RAZONAMIENTO;Curso;Terminada;12/09/2019;14/09/2019;Internivelar
29200026-CEP Marbella - Coín;202923GE252;TALLER DE PROGRAMACIÓN POR COMPETENCIAS PARA SECUNDARIA;Curso;Terminada;23/09/2019;07/10/2019;Educación secundaria obligatoria
29200026-CEP Marbella - Coín;202923GE255;CURSO DE INICIACIÓN AL USO DE LA PLATAFORMA MOODLE;Curso;Terminada;28/01/2020;11/02/2020;Educación secundaria obligatoria
29200026-CEP Marbella - Coín;202923GE301;CUIDANDO NUESTRA VOZ: USO SALUDABLE  DE LA VOZ Y PREVENCIÓN DE PATOLOGÍA VOCAL.;Curso;Terminada;06/11/2019;27/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GE303;DISEÑO DE ESTRATEGIAS SENSORIO-MOTRICES EN UN AULA SENSORIAL;Curso;Terminada;04/02/2020;12/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE304;DISCALCULIA: ¿DIFICULTADES CON LOS NÚMEROS Y EL CÁLCULO?;Curso;Suspendida;06/02/2020;20/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE308;CUIDANDO NUESTRA VOZ: USO SALUDABLE  DE LA VOZ Y PREVENCIÓN DE PATOLOGÍA VOCAL.;Curso;Terminada;07/11/2019;28/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GE400;FOMENTO DE LA COMUNICACIÓN LINGÜÍSTICA EN LOS CENTROS;Jornadas;Terminada;18/09/2019;18/09/2019;Internivelar
29200026-CEP Marbella - Coín;202923GE401;DIRECCIÓN PARA LA MEJORA DE LOS RESULTADOS ESCOLARES;Curso;Terminada;09/01/2020;23/01/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE402;ALUMNADO CON ALTAS CAPACIDADES INTELECTUALES: AUTOESTIMA Y MENTALIDAD DE CRECIMIENTO;Curso con Seguimiento;Suspendida;12/05/2020;13/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE403;JORNADA DE EXPERIENCIAS CON JOLLY PHONICS;Curso con Seguimiento;Suspendida;11/03/2020;11/03/2020;Educación primaria
29200026-CEP Marbella - Coín;202923GE404;JORNADAS EDUCATIVAS COMUNIDAD CEIP BLAS INFANTE;Jornadas;Terminada;09/11/2019;09/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GE409;ORGANIZA TUS JUEGOS DEL HABLA;Jornadas;Terminada;11/03/2020;20/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE471;CONSTRUYENDO LA EDUCACIÓN AFECTIVO-SEXUAL.;Curso;Terminada;08/10/2019;05/11/2019;Educación primaria
29200026-CEP Marbella - Coín;202923GE478;POR UNA SEXUALIDAD SANA (CONSUMO DE  PORNOGRAFÍA Y CONSECUENCIAS  EN LA ADOLESCENCIA );Curso;Suspendida;12/03/2020;23/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE551;LOS PROCESOS DE AUTOEVALUACIÓN Y MEJORA COMO BASE DE LA INNOVACIÓN EDUCATIVA;Curso con Seguimiento;Terminada;08/10/2019;04/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE554;LIBERA A LA ESCUELA DEL LABERINTO DEL TIEMPO CON  CREATIVIDAD EN 4D;Curso;Terminada;04/02/2020;10/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE556;FORMACIÓN ETF: EVALUACIÓN Y LIDERAZGO;Curso;Actividad en desarrollo;10/01/2020;27/05/2020;Otros
29200026-CEP Marbella - Coín;202923GE557;EDUCACIÓN. I CONGRESO INTERNACIONAL DE EDUCACIÓN;Congreso;Suspendida;18/03/2020;19/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE601;LA GESTIÓN EMOCIONAL A TRAVÉS DEL MINDFULNESS Y LA COHESIÓN DE GRUPO;Curso;Terminada;18/10/2019;15/11/2019;Enseñanzas de regimen especial
29200026-CEP Marbella - Coín;202923GE604;APRENDIZAJE COOPERATIVO;Curso;Terminada;09/01/2020;30/01/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE605;PROMOTING A GROWTH MINDSET THROUGH INNOVATIVE ACTIVITIES FOR CLIL;Curso;Terminada;02/03/2020;04/03/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE606;MINDFULNESS II;Curso con Seguimiento;Actividad en desarrollo;05/03/2020;10/06/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE607;EL NUEVO CURRÍCULO Y LA MEDIACIÓN EN EL AULA;Curso;Actividad en desarrollo;07/02/2020;27/03/2020;Enseñanzas de regimen especial
29200026-CEP Marbella - Coín;202923GE608;FORMACIÓN PARA JEFATURAS DE ESTUDIO;Curso;Borrador;14/01/2020;28/01/2020;Equipos directivos
29200026-CEP Marbella - Coín;202923GE754;MIRA CON ACIERTO LA DISLEXIA: ''EL LENGUAJE TIENE SENTIDO Y SE PUEDE MODELIZAR'';Curso;Terminada;10/12/2019;12/12/2019;Internivelar
29200026-CEP Marbella - Coín;202923GE755;ASAMBLEAS ESTRUCTURADAS EN E.I Y E.P PARA TRABAJAR LA ORALIDAD CON TU ALUMNADO;Curso con Seguimiento;Terminada;16/01/2020;06/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE803;USO DEL CUADERNO DEL PROFESORADO;Curso con Seguimiento;Terminada;11/11/2019;16/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE853;KAPICÚA: COMPARTIENDO EXPERIENCIAS MATEMÁTICAS II;Otros;Actividad en desarrollo;08/01/2020;30/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE859;CÓMO DAR CLASE A QUIENES NO QUIEREN;Jornadas;Suspendida;15/04/2020;16/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE976;COLABORAR PARA AVANZAR: MEJORA DE LA COORDINACIÓN EN GRUPOS DE TRABAJO;Jornadas;Terminada;07/11/2019;07/11/2019;Internivelar
